title,type,url_slug,venue,date,location,talk_url,description
Structural Constraint Integration in Generative Model for Discovery of Quantum Material Candidates,Invited Talk,structural-constraint-integration-imrc-2025,IMRC 2025 MRS/SMM Student Poster Award Exchange Program,2025-08-01,"Cancún, Mexico",,"Presentation on structural constraint integration in generative models for quantum material discovery, focusing on advanced machine learning approaches for materials prediction."
Advancing Quantum Material Discovery through Structural Constraint Integration in Generative Models,Graduate Student Award Talk,quantum-material-discovery-mrs-2025,2025 MRS Spring Meeting,2025-04-01,"Seattle, WA, USA",,Graduate Student Award Talk and Poster presentation on advancing quantum material discovery through structural constraint integration in generative models.
Advancing Quantum Material Discovery through Structural Constraint Integration in Generative Models,Oral,quantum-material-discovery-competing-orders-2024,Competing Orders in Quantum Materials,2024-03-01,"New Haven, CT, USA",,Oral presentation on advancing quantum material discovery through structural constraint integration in generative models at the Competing Orders in Quantum Materials conference.
Structural Constraint Integration in Generative Model for Discovery of Quantum Material Candidates,Oral,structural-constraint-integration-mrs-fall-2024,2024 MRS Fall Meeting,2024-12-01,"Boston, MA, USA",,Oral presentation on structural constraint integration in generative models for quantum material discovery at the MRS Fall Meeting.
Large Language Model-Guided Prediction Toward Quantum Materials Synthesis,Oral,llm-quantum-materials-mrs-fall-2024,2024 MRS Fall Meeting,2024-12-01,"Boston, MA, USA",,Oral presentation on large language model-guided prediction approaches for quantum materials synthesis.
Machine-learning assisted study of quantum material properties and quantum material discovery,Invited Talk,machine-learning-quantum-materials-neqf-2024,Northeast Quantum Forum 2024,2024-10-01,"Durham, NH, USA",,Invited talk on machine learning approaches for studying quantum material properties and quantum material discovery.
Structural Constraint Integration in Generative Model for Discovery of Quantum Material Candidates,Invited Talk,structural-constraint-integration-telluride-2024,Quantum Materials for Emergent Applications in Quantum Science,2024-06-01,"Telluride, CO, USA",,Invited talk on structural constraint integration in generative models for quantum material discovery at the Quantum Materials for Emergent Applications conference.
Virtual Node Augmented Machine Learning for Material Property Prediction,Poster,virtual-node-ml-acs-2024,2024 ACS Spring Meeting,2024-03-01,"New Orleans, LA, USA",,Poster presentation on virtual node augmented machine learning approaches for material property prediction.
Virtual Node Augmented Machine Learning for Material Property Prediction,Poster,virtual-node-ml-mrs-spring-2023,2023 MRS Spring Meeting,2023-04-01,"San Francisco, CA, USA",,Poster presentation on virtual node augmented machine learning for material property prediction at the MRS Spring Meeting.
Machine Learning Gamma Phonons from Atomic Coordinates,Poster,ml-phonons-mrs-fall-2022,2022 MRS Fall Meeting,2022-11-01,"Boston, MA, USA",,Poster presentation on machine learning approaches for predicting gamma phonons from atomic coordinates.
Application of Radiation Detection Materials for Radiation Mapping with Machine Learning,Oral,radiation-detection-mrs-spring-2022,2022 MRS Spring Meeting,2022-05-01,Online,,Oral presentation on the application of radiation detection materials for radiation mapping using machine learning techniques.
Theoretical explanation of new solvent suppression scheme with adiabatic pulse and application for solid-state NMR experiments,Poster,solvent-suppression-ismr-2021,22nd International Society of Magnetic Resonance Conference,2021-08-01,Online,,Poster presentation on theoretical explanation of new solvent suppression scheme with adiabatic pulse and its application for solid-state NMR experiments.
Development of Suppression Pulse with Adiabatic Pulse and Application for Biological Solid-State NMR,Poster,adiabatic-pulse-nmr-japan-2020,The 59th Annual Meeting of the NMR Society of Japan,2020-11-01,"Gunma, Japan",,Poster presentation on the development of suppression pulse with adiabatic pulse and its application for biological solid-state NMR experiments.
Development of Suppression Pulse with Adiabatic Pulse for Solid-State NMR Experiment,Poster,adiabatic-pulse-nmr-japan-2019,The 58th Annual Meeting of the NMR Society of Japan,2019-11-01,"Kanagawa, Japan",,Poster presentation on the development of suppression pulse with adiabatic pulse for solid-state NMR experiments.
